《教务管理系统需求描述清单》

一、 本科生
1.  【功能需求】：系统应提供实时的课程冲突检查功能，当学生尝试选择时间冲突的课程时，立即高亮显示具体冲突信息。
2.  【功能需求】：系统应在成绩发布后，通过移动应用推送通知，并确保成绩查询页面能一次性完整、快速地显示所有科目成绩。
3.  【功能需求】：系统应提供统一的课程中心，支持教师发布通知、资料、作业，并允许学生在线提交作业，系统需提供截止日期提醒。
4.  【功能需求】：系统应在每门课程详情页，集成往届学生的匿名课程评价模块，包含难度、作业量、给分等维度。
5.  【功能需求】：系统应支持在规定时间内在线进行退课与补选操作，并自动校验课程容量与时间冲突。

二、 任课教师
6.  【功能需求】：系统应在课程选课人数达到容量上限时，自动关闭该课程的选课通道。
7.  【功能需求】：系统应提供成绩批量导入模板与一键导入功能，并在导入时自动校验成绩数据格式的有效性。
8.  【功能需求】：系统应在教师提交调停课申请并获批后，自动向选课学生发送通知，并支持学生确认知悉。
9.  【功能需求】：系统应在课程管理页面，向教师展示选课学生的专业背景、已修先修课程等信息。
10. 【功能需求】：系统应提供在线作业批阅平台，支持教师在线评注、打分并一键反馈给学生。

三、 教务管理员
11. 【功能需求】：系统应根据专业培养计划，为各年级学生自动生成推荐选课列表。
12. 【功能需求】：系统应具备自动毕业预审功能，根据学生已修课程比对培养方案，标记缺失学分与问题学生，供管理员复核。
13. 【功能需求】：系统应提供智能排课辅助功能，允许管理员设定约束条件后，自动生成初步课表。
14. 【功能需求】：系统应对重要通知（如培养方案变更）提供强提醒弹窗，并记录用户的阅读确认状态。

四、 系统运维人员
15. 【功能需求】：系统应提供集成监控面板，实时显示服务器性能指标与关键接口响应时间，并支持设置阈值告警。
16. 【功能需求】：系统应支持自动化部署、灰度发布与快速回滚机制。
17. 【约束性需求】：系统必须禁止任何未经审批的后台直接数据库操作，所有数据变更需通过业务界面或受控维护流程完成并记录。

五、 财务处工作人员
18. 【功能需求】：系统应能按标准格式自动生成教师课时工作量及酬金计算明细表，并确保数据权威统一。
19. 【功能需求】：系统应能实时获取并验证学生缴费状态，并在选课、考试报名等关键环节对欠费学生进行拦截。

六、 院系教学负责人
20. 【功能需求】：系统应能自动汇总并生成多维度（院系、教师、课程）的教学评估统计分析报告。

七、 学生辅导员
21. 【功能需求】：系统应在学生出现不及格或学分不足等情况时，自动向其辅导员发送学业预警信息。
22. 【功能需求】：系统应授权辅导员查看所带学生的完整成绩单与学习进度概况。

八、 通用约束性需求
23. 【约束性需求】：系统必须与学校统一身份认证系统集成，并符合教育部信息化标准。
24. 【约束性需求】：系统数据库必须使用指定的Oracle 19c版本，并部署于学校私有云。
25. 【约束性需求】：系统必须提供标准API接口，以支持与财务系统等第三方应用对接。

九、 通用质量需求
26. 【质量需求】：系统在选课等高峰时段的核心功能响应时间应不超过3秒。
27. 【质量需求】：系统核心业务功能的可用性应不低于99.5%。
28. 【质量需求】：系统应具备防护SQL注入、XSS等常见网络攻击的能力。
29. 【质量需求】：系统应采用模块化设计，确保新增功能模块时不影响核心业务。
30. 【质量需求】：系统应保证在单点故障情况下不导致整体服务瘫痪，且数据恢复时间不超过2小时。
