系统需求描述清单
一、 本科生用户需求
1. 【非功能需求】：系统在选课高峰期间（如开放选课的第一分钟内）应保持高可用性，支持至少每分钟 X 万次的并发选课请求，避免出现白屏、服务器繁忙报错或长时间无响应。
2. 【功能需求】：系统应提供“选课心愿单”功能，允许学生提前预选课程，并在选课开放后，按优先级或排队顺序自动尝试提交选课请求。
3. 【功能需求】：系统应提供实时、可视化的课程表预览功能。当学生选择或备选一门课程时，系统需立即在课表界面显示其时间位置，并用红色高亮及文字提示与其他课程的具体冲突详情。
4. 【功能需求】：系统应为每门课程提供详细的课程信息页面，内容需至少包含：教学大纲、授课教师简介、推荐教材、以及往届学生的匿名课程评价与历史成绩分布概况。
5. 【功能需求】：系统应支持在线退课/换课申请流程。学生可在线发起申请，经任课教师在线审批后，系统自动更新学生课表与课程名额，并将关键状态变更通过推送或短信通知学生。
6. 【质量需求】：系统的用户界面（UI）对本科生而言应直观易用，核心操作（如选课、退课、查课表）在3次点击内完成，并符合主流移动端浏览器的兼容性要求。

二、 任课教师用户需求
1. 【功能需求】：系统应提供集成的成绩管理面板，允许教师在一个界面内查看选课学生名单，并在线录入、批量导入或通过API对接方式获取考勤、作业、考试成绩，按预设规则自动计算总评成绩，并支持一键提交至教务系统。
2. 【功能需求】：系统应提供灵活的选课名额管理功能，允许教师为课程设置“等待队列”，并在名额空出时自动按序通知队列学生；同时支持教师生成并分发有限数量的“加选授权码”。
3. 【功能需求】：系统应为每门课程配备课程通知模块，允许任课教师一键向所有选课学生发送通知，并确保通知在系统门户显示，并可选择同步推送至学生绑定邮箱或手机。
4. 【功能需求】：系统应集成可信的课堂签到功能（如基于位置/蓝牙的验证），签到数据自动关联至课程考勤记录，教师可实时查看并导出出勤统计报表。
5. 【质量需求】：系统在处理成绩等敏感数据时，必须保证数据的100%准确性与完整性，任何计算或传输过程均需有防错与审计日志机制。

三、 教务管理员用户需求
1. 【功能需求】：系统应提供标准化的线上特殊申请（如课程替代、学分认定）处理流程，实现申请提交、附件上传、自动关联培养方案、多级审批（教务员、系主任等）线上化，并全程记录审批日志。
2. 【功能需求】：系统后台应提供可自定义的数据看板与报表生成工具，支持教务管理员一键生成预置模板（如选课率、教室使用率）或自定义条件的统计报表，并支持导出为通用格式（如PDF、Excel）。
3. 【功能需求】：系统应提供智能排课辅助引擎，允许管理员输入约束条件（教师时间偏好、教室资源、课程连续性等），由系统自动生成无冲突的排课草案，并高亮显示所有潜在冲突供人工调整。
4. 【功能需求】：系统应为每位学生动态生成“学业进度仪表盘”，直观展示其已修/待修学分、GPA、以及基于培养方案的个性化“推荐选课清单”。
5. 【约束性需求】：系统必须与学校现有的人员认证系统（如LDAP/统一身份认证）、财务系统（如收费接口）及毕业审核系统实现单点登录与数据对接。
6. 【非功能需求】：系统对所有业务数据的操作必须留有完整的审计日志，确保任何培养方案、成绩、课程安排的修改可追溯至具体操作人、时间和内容，以满足教学管理合规性要求。
